V_10,I_10,,V_1,I_1,,V_2,I_2,,V_3,I_3,,V_4,I_4,,V_5,I_5,,V_6,I_6,,V_7,I_7,,V_8,I_8,,V_9,I_9
1.256,0.96,,1.259,0.96,,1.261,0.98,,1.257,0.96,,1.26,0.97,,1.254,0.97,,1.263,0.98,,1.261,0.98,,1.266,0.97,,1.257,0.96
2.03,1.55,,1.98,1.52,,1.301,1.01,,1.99,1.5,,2.01,1.53,,1.98,1.51,,2,1.53,,2.01,1.54,,2.04,1.55,,1.508,1.14
2.53,1.93,,3.03,2.35,,1.99,1.53,,3.01,2.29,,3,3.31,,3.02,2.34,,2.52,1.94,,3,2.31,,3.01,2.31,,2.5,1.9
3,2.3,,4.01,3.14,,3,2.32,,4.01,3.11,,4.02,3.14,,3.98,3.12,,3,2.31,,4.01,3.14,,4.01,3.13,,3.52,2.72
3.5,2.71,,5.00,4.01,,4,3.14,,5.01,3.98,,5.03,4.03,,5.07,4.07,,3.5,2.72,,5.01,4.01,,5.02,4.01,,4.52,3.55
4,3.11,,5.99,4.96,,4.99,4.01,,6,4.93,,6,4.97,,5.98,4.97,,3.97,3.11,,5.99,4.97,,6,4.96,,5.51,4.47
4.5,3.55,,6.99,6.05,,6,4.99,,7.01,6.02,,7.04,6.09,,7.03,6,,4.5,3.56,,7.01,6.04,,7,6.03,,6.5,5.49
5,4,,8.00,7.21,,7.01,6.07,,8,7.14,,8.04,7.22,,7.99,7.18,,5.03,4.03,,8,7.16,,8.01,7.17,,7.49,6.57
5.51,4.48,,9.00,8.53,,8.01,7.2,,9,8.5,,9.02,8.53,,9.01,8.53,,5.49,4.48,,9.04,8.55,,8.99,8.45,,8.54,7.81
6.05,5.1,,9.20,8.89,,9.01,8.51,,9.2,8.82,,9.19,8.83,,9.2,8.84,,6,4.98,,9.22,8.85,,9.19,8.79,,9,8.47
6.52,5.49,,9.39,9.26,,9.2,8.82,,9.4,9.22,,9.41,9.25,,9.39,9.23,,6.53,5.53,,9.42,9.23,,9.39,9.19,,9.21,8.84
7.02,6.03,,9.60,9.76,,9.4,9.21,,9.61,9.67,,9.6,9.69,,9.59,9.65,,7.04,6.1,,9.61,9.62,,9.59,9.6,,9.38,9.16
7.52,6.63,,9.82,10.36,,9.6,9.65,,9.8,10.15,,9.78,10.17,,9.8,10.23,,7.49,6.6,,9.79,10.15,,9.8,10.17,,9.58,9.6
8,7.19,,10.00,10.95,,9.81,10.2,,10.01,10.87,,10,10.86,,10,10.9,,8.04,7.22,,10,10.81,,10,10.79,,9.81,10.21
8.51,7.81,,10.11,11.36,,10.01,10.88,,10.1,11.19,,10.1,11.27,,10.1,11.25,,8.53,7.83,,10.1,11.14,,10.11,11.2,,9.99,10.78
9.07,8.63,,10.20,11.81,,10.1,11.24,,10.2,11.56,,10.18,11.56,,10.19,11.58,,8.99,8.49,,10.2,11.45,,10.2,11.55,,10.11,11.2
9.21,8.84,,10.29,12.13,,10.2,11.59,,10.3,11.96,,10.3,12.03,,10.28,12.02,,9.2,8.85,,10.32,12.05,,10.31,12.02,,10.18,11.42
9.38,9.16,,10.39,12.56,,10.28,11.94,,10.4,12.4,,10.37,12.31,,10.39,12.47,,9.43,9.29,,10.39,12.26,,10.39,12.36,,10.3,11.92
9.58,9.6,,10.49,13.01,,10.31,12.05,,10.5,12.91,,10.48,12.8,,10.51,13,,9.65,9.82,,10.49,12.75,,10.49,12.77,,10.37,12.2
9.81,10.21,,10.59,13.44,,10.4,12.37,,10.6,13.21,,10.59,13.3,,10.6,13.4,,9.81,10.24,,10.59,13.25,,10.59,13.18,,10.49,12.8
9.99,10.78,,10.72,14,,10.51,12.77,,10.7,13.76,,10.69,13.78,,10.7,13.85,,9.99,10.84,,10.69,13.7,,10.7,13.72,,10.6,13.29
10.11,11.2,,10.81,14.48,,10.6,13.35,,10.81,14.26,,10.79,14.28,,10.79,14.34,,10.11,11.3,,10.81,14.28,,10.8,14.19,,10.7,13.64
10.18,11.42,,10.90,15,,10.71,13.83,,10.9,14.77,,10.91,14.88,,10.91,14.94,,10.18,11.56,,10.9,14.72,,10.9,14.67,,10.8,14.17
10.3,11.92,,11.00,15.55,,10.8,14.32,,11,15.36,,11.01,15.5,,11,15.47,,10.32,12.18,,11.01,15.34,,10.99,15.25,,10.9,14.53
10.37,12.2,,11.11,16.19,,10.91,14.88,,11.1,15.95,,11.09,15.94,,11.11,16.12,,10.4,12.5,,11.09,15.89,,11.1,15.88,,10.99,15.27
10.49,12.8,,11.21,17.07,,11.01,15.44,,11.2,16.67,,11.2,16.81,,11.2,16.87,,10.51,12.99,,11.19,16.62,,11.19,16.55,,11.1,15.87
10.6,13.29,,11.30,18.13,,11.1,16.01,,11.3,17.88,,11.33,18.4,,11.32,18.35,,10.62,13.47,,11.31,17.95,,11.3,17.83,,11.21,16.84
10.7,13.64,,11.39,19.44,,11.2,16.91,,11.4,19.21,,11.39,19.24,,11.39,19.34,,10.69,13.78,,11.41,19.33,,11.41,19.34,,11.3,17.87
10.8,14.17,,11.51,21.06,,11.3,18.11,,11.51,21.1,,11.53,21.9,,11.52,21.7,,10.8,14.32,,11.49,20.7,,11.51,21.1,,11.39,19
10.9,14.53,,11.60,23.7,,11.39,19.2,,11.61,23.6,,11.59,23.5,,11.59,23.3,,10.9,14.87,,11.59,22.9,,11.59,23,,11.5,20.8
10.99,15.27,,11.69,26.1,,11.51,21.2,,11.71,26.3,,11.69,26,,11.68,26.1,,11,15.43,,11.7,25.6,,11.7,26,,11.62,23.7
11.1,15.87,,11.81,30,,11.6,23.3,,11.8,28.9,,11.83,30.4,,11.81,29.4,,11.1,16.02,,11.8,28.6,,11.79,28.5,,11.69,25.5
11.21,16.84,,11.89,32.7,,11.71,26.3,,11.89,32.1,,11.89,32.4,,11.89,32.6,,11.2,16.76,,11.88,31.5,,11.91,32.4,,11.78,28.2
11.3,17.87,,11.99,36.4,,11.79,28.4,,12.01,36.8,,12.02,37.8,,12,36.8,,11.29,17.82,,11.99,35.7,,11.99,36.2,,11.93,33.5
11.39,19,,12.09,40.5,,11.91,32.7,,12.09,40.6,,,,,12.09,41.4,,11.39,19,,12.08,39.8,,12.07,39.6,,11.98,35.3
11.5,20.8,,12.20,47.5,,12,36.7,,,,,,,,,,,11.49,20.9,,,,,,,,12.1,41.3
11.62,23.7,,,,,12.09,41.2,,,,,,,,,,,11.6,23.6,,,,,,,,,
11.69,25.5,,,,,,,,,,,,,,,,,11.7,26.2,,,,,,,,,
11.78,28.2,,,,,,,,,,,,,,,,,11.79,28.8,,,,,,,,,
11.93,33.5,,,,,,,,,,,,,,,,,11.9,32.8,,,,,,,,,
11.98,35.3,,,,,,,,,,,,,,,,,11.99,36.3,,,,,,,,,
12.1,41.3,,,,,,,,,,,,,,,,,12.09,41.8,,,,,,,,,
